,162WL%,AGE,BB/9,BK,BR/9,CG,ER,ERA,G,GF,GS,H,H/9,HB,HR,HR/9,IBB,IP,L,LABEL,NAME,PID,R,RAA,RAR,SO,SO/9,SO/BB,SV,ShO,TBB,W,WAA,WAAadj,WAR,WLP,WP,waaWL%
0,0,0,0,1.0,0,0.0,21.0,7.53,11.0,2.0,4.0,28.0,0,0.0,3.0,0,2.0,25.1,4.0,0,,,22.0,0,0,14.0,0,0,0.0,0.0,22.0,0.0,0,0,-0.3333333333333333,0,2.0,0
0,0,0,0,1.0,0,0.0,45.0,3.86,43.0,10.0,5.0,111.0,0,6.0,11.0,0,5.0,105.0,4.0,0,,,52.0,0,0,67.0,0,0,1.0,1.0,44.0,1.0,0,0,0.2333333333333333,0,5.0,0
0,0,0,0,0.0,0,0.0,12.0,6.0,4.0,0.0,4.0,25.0,0,0.0,0.0,0,0.0,18.0,0.0,0,,,12.0,0,0,9.0,0,0,0.0,0.0,16.0,1.0,0,0,0.0,0,3.0,0
0,0,0,0,0.0,0,1.0,62.0,5.64,38.0,19.0,6.0,114.0,0,0.0,11.0,0,,99.0,4.0,0,,,69.0,0,0,47.0,0,0,0.0,0.0,50.0,2.0,0,0,-0.13333333333333333,0,3.0,0
0,0,0,0,0.0,0,1.0,15.0,5.0,6.0,3.0,3.0,40.0,0,1.0,2.0,0,,27.0,1.0,0,,,28.0,0,0,3.0,0,0,1.0,1.0,12.0,1.0,0,0,-0.44999999999999996,0,0.0,0
0,0,0,0,0.0,0,19.0,175.0,4.34,67.0,18.0,42.0,403.0,0,7.0,24.0,0,,363.0,27.0,0,,,211.0,0,0,78.0,0,0,1.0,1.0,156.0,12.0,0,0,1.2000000000000002,0,4.0,0
0,0,0,0,0.0,0,0.0,70.0,4.56,119.0,40.0,0.0,155.0,0,5.0,18.0,0,10.0,138.2,5.0,0,,,75.0,0,0,81.0,0,0,0.0,0.0,54.0,5.0,0,0,0.08333333333333333,0,1.0,0
0,0,0,0,0.0,0,0.0,17.0,6.38,5.0,0.0,5.0,19.0,0,0.0,4.0,0,0.0,24.0,2.0,0,,,18.0,0,0,14.0,0,0,0.0,0.0,29.0,1.0,0,0,-0.3,0,2.0,0
0,0,0,0,9.0,0,0.0,386.0,3.88,730.0,156.0,42.0,865.0,0,40.0,70.0,0,40.0,896.2,45.0,0,,,432.0,0,0,701.0,0,0,28.0,28.0,385.0,41.0,0,0,0.85,0,54.0,0
0,0,0,0,7.0,0,0.0,279.0,4.01,543.0,198.0,2.0,639.0,0,30.0,30.0,0,47.0,626.1,33.0,0,,,313.0,0,0,307.0,0,0,29.0,29.0,248.0,40.0,0,0,0.18461538461538465,0,21.0,0
0,0,0,0,10.0,0,10.0,512.0,3.57,732.0,557.0,89.0,1233.0,0,36.0,138.0,0,42.0,1291.1,81.0,0,,,568.0,0,0,1030.0,0,0,318.0,318.0,351.0,86.0,0,0,1.0500000000000003,0,53.0,0
0,0,0,0,9.0,0,44.0,496.0,3.25,447.0,124.0,149.0,1216.0,0,47.0,123.0,0,35.0,1375.1,72.0,0,,,562.0,0,0,856.0,0,0,33.0,33.0,479.0,75.0,0,0,1.3125000000000002,0,35.0,0
0,0,0,0,0.0,0,0.0,13.0,11.7,4.0,0.0,3.0,20.0,0,0.0,2.0,0,1.0,10.0,2.0,0,,,13.0,0,0,4.0,0,0,0.0,0.0,5.0,0.0,0,0,-0.4,0,1.0,0
0,0,0,0,0.0,0,0.0,73.0,5.21,29.0,4.0,22.0,136.0,0,8.0,16.0,0,0.0,126.2,8.0,0,,,78.0,0,0,90.0,0,0,0.0,0.0,61.0,6.0,0,0,-0.024999999999999994,0,7.0,0
0,0,0,0,0.0,0,10.0,69.0,3.01,34.0,8.0,22.0,193.0,0,5.0,7.0,0,,206.1,12.0,0,,,98.0,0,0,101.0,0,0,0.0,0.0,67.0,12.0,0,0,0.3333333333333333,0,9.0,0
0,0,0,0,0.0,0,0.0,272.0,3.28,495.0,321.0,0.0,679.0,0,40.0,63.0,0,68.0,746.0,45.0,0,,,312.0,0,0,404.0,0,0,124.0,124.0,274.0,47.0,0,0,0.7545454545454544,0,13.0,0
0,0,0,0,1.0,0,1.0,132.0,5.09,125.0,33.0,13.0,216.0,0,13.0,36.0,0,16.0,233.2,10.0,0,,,146.0,0,0,129.0,0,0,3.0,3.0,127.0,9.0,0,0,-0.25999999999999995,0,21.0,0
0,0,0,0,0.0,0,0.0,11.0,4.93,5.0,3.0,1.0,24.0,0,2.0,1.0,0,,20.1,1.0,0,,,17.0,0,0,11.0,0,0,0.0,0.0,15.0,1.0,0,0,-0.5,0,0.0,0
0,0,0,0,0.0,0,0.0,1.0,2.9,3.0,1.0,0.0,1.0,0,0.0,0.0,0,0.0,3.1,0.0,0,,,2.0,0,0,3.0,0,0,0.0,0.0,2.0,0.0,0,0,0.0,0,0.0,0
0,0,0,0,1.0,0,0.0,37.0,4.37,66.0,13.0,0.0,77.0,0,7.0,10.0,0,3.0,76.2,3.0,0,,,40.0,0,0,56.0,0,0,0.0,0.0,32.0,6.0,0,0,0.14,0,0.0,0
0,0,0,0,0.0,0,0.0,3.0,4.5,6.0,6.0,0.0,8.0,0,0.0,1.0,0,0.0,6.0,0.0,0,,,3.0,0,0,3.0,0,0,0.0,0.0,2.0,0.0,0,0,0.1,0,0.0,0
0,0,0,0,0.0,0,0.0,48.0,7.44,27.0,10.0,5.0,77.0,0,2.0,7.0,0,3.0,58.1,4.0,0,,,57.0,0,0,23.0,0,0,0.0,0.0,36.0,0.0,0,0,-0.43333333333333335,0,5.0,0
0,0,0,0,1.0,0,1.0,27.0,4.05,10.0,0.0,10.0,64.0,0,2.0,6.0,0,0.0,60.0,5.0,0,,,34.0,0,0,25.0,0,0,0.0,0.0,7.0,2.0,0,0,0.2,0,0.0,0
0,0,0,0,0.0,0,0.0,254.0,4.39,368.0,83.0,23.0,524.0,0,22.0,51.0,0,22.0,521.0,31.0,0,,,275.0,0,0,366.0,0,0,0.0,0.0,229.0,25.0,0,0,0.22000000000000003,0,22.0,0
0,0,0,0,0.0,0,2.0,19.0,6.29,4.0,1.0,3.0,35.0,0,0.0,1.0,0,,27.2,2.0,0,,,22.0,0,0,10.0,0,0,0.0,0.0,20.0,1.0,0,0,-0.6,0,1.0,0
0,0,0,0,0.0,0,0.0,36.0,6.21,19.0,3.0,8.0,52.0,0,1.0,4.0,0,,52.2,8.0,0,,,43.0,0,0,24.0,0,0,0.0,0.0,43.0,0.0,0,0,-0.65,0,1.0,0
0,0,0,0,0.0,0,1.0,7.0,5.63,3.0,1.0,2.0,7.0,0,0.0,0.0,0,,11.2,1.0,0,,,10.0,0,0,2.0,0,0,0.0,0.0,11.0,1.0,0,0,0.0,0,0.0,0
0,0,0,0,5.0,0,0.0,59.0,3.14,182.0,39.0,0.0,120.0,0,7.0,15.0,0,10.0,169.1,5.0,0,,,59.0,0,0,223.0,0,0,1.0,1.0,98.0,13.0,0,0,0.82,0,16.0,0
0,0,0,0,1.0,0,6.0,170.0,4.11,101.0,32.0,37.0,338.0,0,12.0,36.0,0,7.0,372.2,17.0,0,,,194.0,0,0,193.0,0,0,1.0,1.0,220.0,18.0,0,0,0.39999999999999997,0,21.0,0
0,0,0,0,5.0,0,3.0,132.0,4.77,68.0,11.0,33.0,257.0,0,6.0,25.0,0,9.0,249.1,11.0,0,,,138.0,0,0,140.0,0,0,2.0,2.0,121.0,14.0,0,0,-0.4,0,9.0,0
0,0,0,0,0.0,0,0.0,26.0,6.65,16.0,9.0,3.0,52.0,0,0.0,4.0,0,,35.2,1.0,0,,,30.0,0,0,11.0,0,0,0.0,0.0,12.0,0.0,0,0,-0.55,0,0.0,0
0,0,0,0,2.0,0,1.0,334.0,6.02,229.0,29.0,67.0,581.0,0,19.0,78.0,0,20.0,499.2,39.0,0,,,356.0,0,0,312.0,0,0,1.0,1.0,230.0,20.0,0,0,-0.19999999999999996,0,30.0,0
0,0,0,0,2.0,0,0.0,57.0,4.74,62.0,21.0,0.0,119.0,0,3.0,12.0,0,9.0,108.2,5.0,0,,,62.0,0,0,46.0,0,0,2.0,2.0,39.0,6.0,0,0,-0.0666666666666667,0,3.0,0
0,0,0,0,0.0,0,102.0,668.0,3.76,248.0,28.0,205.0,1671.0,0,39.0,87.0,0,,1600.2,80.0,0,,,785.0,0,0,526.0,0,0,6.0,6.0,512.0,97.0,0,0,1.8777777777777775,0,24.0,0
0,0,0,0,0.0,0,0.0,13.0,10.64,9.0,5.0,0.0,18.0,0,2.0,0.0,0,2.0,11.0,1.0,0,,,13.0,0,0,2.0,0,0,0.0,0.0,7.0,1.0,0,0,-0.44999999999999996,0,2.0,0
0,0,0,0,10.0,0,98.0,1406.0,3.76,561.0,56.0,464.0,3376.0,0,53.0,324.0,0,60.0,3367.2,174.0,0,,,1541.0,0,0,1528.0,0,0,3.0,3.0,978.0,194.0,0,0,1.526315789473684,0,74.0,0
0,0,0,0,1.0,0,0.0,63.0,5.79,36.0,6.0,11.0,112.0,0,4.0,12.0,0,7.0,98.0,3.0,0,,,67.0,0,0,59.0,0,0,0.0,0.0,54.0,6.0,0,0,-0.26666666666666666,0,3.0,0
0,0,0,0,1.0,0,436.0,1476.0,2.56,696.0,81.0,600.0,4868.0,0,70.0,165.0,0,,5190.0,208.0,1,,,1852.0,0,0,2198.0,0,0,32.0,32.0,951.0,373.0,0,0,5.795,0,38.0,0
0,0,0,0,2.0,0,0.0,280.0,4.11,592.0,301.0,0.0,677.0,0,22.0,55.0,0,45.0,613.0,37.0,0,,,296.0,0,0,400.0,0,0,129.0,129.0,250.0,35.0,0,0,0.3545454545454547,0,13.0,0
0,0,0,0,0.0,0,3.0,45.0,4.25,19.0,3.0,13.0,97.0,0,1.0,9.0,0,3.0,95.2,6.0,0,,,52.0,0,0,44.0,0,0,0.0,0.0,31.0,4.0,0,0,0.3333333333333333,0,1.0,0
0,0,0,0,0.0,0,0.0,9.0,6.75,3.0,1.0,1.0,18.0,0,0.0,2.0,0,,12.0,1.0,0,,,12.0,0,0,8.0,0,0,0.0,0.0,8.0,0.0,0,0,-0.4,0,0.0,0
0,0,0,0,2.0,0,0.0,125.0,4.11,204.0,84.0,0.0,288.0,0,5.0,23.0,0,27.0,274.0,12.0,0,,,152.0,0,0,199.0,0,0,19.0,19.0,132.0,7.0,0,0,-0.26000000000000006,0,18.0,0
