PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
k20,"Kalin, Frank",25,R,1943,CHW,,4,4,4,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,1,-100,0,0,,-1,-0.1,-1,-0.1,0.474,0.499,-0.1,0,-1
k20,"Kalin, Frank",28,R,1946,PIT-min,,121,424,389,47,121,17,4,11,60,107,27,,24,3,,,0.311,0.357,0.46,0.817,7,,1,179,,,63.6826923077,,,,,,,,,,,
k20,"Kalin, Frank",29,R,1947,PIT-min,,85,269,241,32,75,9,5,9,48,80,25,,28,2,,,0.311,0.378,0.502,0.88,2,,1,121,5,,45.4887218045,,,,,,,,,,,
k20,"Kalin, Frank",30,R,1948,PIT-min,,46,142,126,26,41,6,2,7,39,65,16,,17,1,,,0.325,0.401,0.571,0.973,0,,0,72,,,28.9014084507,,,,,,,,,,,
k20,"Kalin, Frank",31,R,1949,PIT-min,,113,424,378,51,116,18,4,13,80,131,43,,46,2,,,0.307,0.378,0.479,0.857,3,,0,181,7,,68.3586698337,,,,,,,,,,,
k20,"Kalin, Frank",32,R,1950,PIT-min,,85,260,238,38,70,13,5,14,51,89,22,,43,1,,,0.294,0.354,0.567,0.921,0,,0,135,3,,47.7692307692,,,,,,,,,,,
k20,"Kalin, Frank",33,R,1951,PIT-min,,111,440,408,54,120,20,3,18,89,143,31,,50,1,,,0.294,0.345,0.49,0.836,0,,1,200,9,,68.7927107062,,,,,,,,,,,
k20,"Kalin, Frank",34,R,1952,CLE-min,,131,442,391,49,110,27,4,15,72,121,49,,43,0,,,0.281,0.363,0.486,0.849,1,,1,190,0,,68.6590909091,,,,,,,,,,,
k20,"Kalin, Frank",35,R,1953,SFR-min,,116,422,355,59,104,20,2,16,55,114,62,,38,1,,,0.293,0.402,0.496,0.898,2,,3,176,13,,70.0623501199,,,,,,,,,,,
k20,"Kalin, Frank",36,R,1954,SFR-min,,8,15,14,0,4,0,0,0,3,3,1,,1,0,,,0.286,0.333,0.286,0.619,0,0,0,4,1,,1.3333333333,,,,,,,,,,,
k21,"Kaline, Al",18,R,1953,DET,OF,30,30,28,9,7,0,0,1,2,11,1,,5,1,0,1,0.25,0.3,0.357,0.657,0,,1,10,1,78,2.7586206897,2.9103448276,,-5,-0.6,-4,-0.5,0.481,0.497,0,-0.5,0
k21,"Kaline, Al",19,R,1954,DET,RF,138,535,504,43,139,18,3,4,43,86,22,,45,9,5,0.643,0.276,0.305,0.347,0.652,7,2,0,175,21,80,53.5646387833,53.3692015209,,-5,-0.6,12,1.1,0.496,0.497,-0.9,1.4,-7
