PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
r17,"Rader, Don",26,L,1920,None-min,,152,535,535,,139,25,5,2,,,,,,,,,0.26,0.26,0.336,0.596,,,,180,,,,,,,,,,,,,,
r17,"Rader, Don",27,L,1921,NOR-min,,114,383,383,,102,9,2,0,,,,,,,,,0.266,0.266,0.3,0.567,,,,115,,,,,,,,,,,,,,
r17,"Rader, Don",27,L,1921,PHI,SS,9,36,32,4,9,2,0,0,3,7,3,,5,0,0,,0.281,0.343,0.344,0.687,1,,0,11,,77,3.7714285714,3.7714285714,,1,0.1,2,0.2,0.507,0.5,0.1,0.2,1
r17,"Rader, Don",28,L,1922,None-min,,141,570,570,,181,27,7,4,,,,,,,,,0.318,0.318,0.411,0.728,,,,234,,,,,,,,,,,,,,
r17,"Rader, Don",29,L,1923,VER-min,,139,464,464,,123,15,7,1,,,,,,,,,0.265,0.265,0.334,0.599,,,,155,,,,,,,,,,,,,,
r17,"Rader, Don",30,L,1924,DAL-min,,128,403,403,,113,15,1,4,,,,,,,,,0.28,0.28,0.352,0.633,,,,142,,,,,,,,,,,,,,
r17,"Rader, Don",31,L,1925,DMO-min,,158,573,573,,162,24,10,4,,,,,,,,,0.283,0.283,0.38,0.663,,,,218,,,,,,,,,,,,,,
r18,"Rader, Doug",20,R,1965,HOU-min,,112,385,330,44,69,14,1,14,38,82,42,,85,1,1,0.5,0.209,0.307,0.385,0.692,1,5,7,127,,,37.8951612903,37.7163978495,,,,,,,,,,
r18,"Rader, Doug",21,R,1966,HOU-CIN/HOU-min,,158,649,574,91,163,24,12,16,77,168,57,,115,11,4,0.733,0.284,0.35,0.451,0.801,6,7,5,259,,,90.3011093502,90.7302694136,,,,,,,,,,
r18,"Rader, Doug",22,R,1967,HOU-min,,75,305,273,40,80,23,5,9,44,84,23,,29,3,3,0.5,0.293,0.349,0.513,0.862,1,5,3,140,,,48.7162162162,47.8547297297,,,,,,,,,,
r18,"Rader, Doug",22,R,1967,HOU,1B,47,176,162,24,54,10,4,2,26,50,7,2,31,0,3,0,0.333,0.36,0.481,0.841,1,4,2,78,3,144,28.1538461538,26.7692307692,4549.7547727273,2,0.3,8,0.9,0.505,0.502,1.3,-0.6,12
r18,"Rader, Doug",23,R,1968,HOU,3B,98,371,333,42,89,16,4,6,43,85,31,3,51,2,2,0.5,0.267,0.328,0.393,0.721,2,4,1,131,8,119,43.1868131868,42.8236263736,15377.951212938,4,0.6,16,1.9,0.504,0.503,2.5,-0.5,22
