PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
y98,"Youngs, Ross",23,L,1920,NYG,OF,153,671,581,92,204,27,14,6,78,170,75,,55,18,18,0.5,0.351,0.427,0.477,0.904,13,,2,277,,159,117.8094512195,114.1477134146,,38,4.2,58,6.4,0.528,0.527,6.1,-0.6,55
y98,"Youngs, Ross",24,L,1921,NYG,OF,141,594,504,90,165,24,16,3,102,192,71,,47,21,17,0.553,0.327,0.411,0.456,0.868,18,,1,230,,128,94.4,91.9990434783,,19,1.8,37,3.8,0.514,0.512,3.5,-0.3,33
y98,"Youngs, Ross",25,L,1922,NYG,OF,149,643,559,105,185,34,10,7,86,191,55,,50,17,9,0.654,0.331,0.398,0.465,0.863,21,,7,260,,120,101.6286644951,101.3352605863,,18,1.8,38,3.8,0.512,0.511,3.2,0,32
y98,"Youngs, Ross",26,L,1923,NYG,OF,152,689,596,121,200,33,12,3,87,208,73,,36,13,19,0.406,0.336,0.412,0.446,0.859,14,,5,266,,126,108.5470852018,103.7071748879,,16,1.6,37,3.6,0.511,0.51,3.5,-0.6,36
y98,"Youngs, Ross",27,L,1924,NYG,OF,133,612,526,112,187,33,12,10,74,186,77,,31,11,9,0.55,0.356,0.441,0.521,0.962,6,,3,274,,159,119.960199005,118.4291044776,,41,4,59,5.9,0.531,0.526,5.8,-0.6,58
y98,"Youngs, Ross",28,L,1925,NYG,OF,130,584,500,82,132,24,6,6,53,135,66,,51,17,11,0.607,0.264,0.354,0.372,0.726,14,,4,186,,89,65.0671378092,64.5414310954,,-20,-1.9,-2,-0.2,0.486,0.489,0.5,-1.2,5
y98,"Youngs, Ross",29,L,1926,NYG,OF,95,421,372,62,114,12,5,4,43,105,37,,19,21,,,0.306,0.372,0.398,0.77,10,,2,148,,109,54.6405867971,,,3,0.3,16,1.6,0.503,0.502,1.6,-0.5,16
y100,"Yount, Eddie",21,R,1937,PHA-min,,133,488,488,,143,21,7,4,,,,,,,,,0.293,0.293,0.389,0.682,,,,190,,,,,,,,,,,,,,
y100,"Yount, Eddie",21,R,1937,PHA,OF,4,7,7,1,2,0,0,0,1,2,0,,1,0,0,,0.286,0.286,0.286,0.571,0,,0,2,,46,0.5714285714,0.5714285714,,-1,-0.1,0,0,0.485,0.5,0,0,0
y100,"Yount, Eddie",22,R,1938,CHC-PHA-min,,128,454,454,,123,21,6,11,,,,,,,,,0.271,0.271,0.416,0.687,,,,189,,,,,,,,,,,,,,
y100,"Yount, Eddie",23,R,1939,PHI-min,,137,500,500,,175,27,11,11,,,,,,,,,0.35,0.35,0.514,0.864,,,,257,,,,,,,,,,,,,,
y100,"Yount, Eddie",23,R,1939,PIT,,2,2,2,0,0,0,0,0,0,0,0,,2,0,,,0,0,0,0,0,,0,0,0,-100,0,,,-1,-0.1,0,-0.1,0.468,0.5,-0.1,0,-1
y100,"Yount, Eddie",24,R,1940,BOS-PIT-min,,130,471,471,,122,22,7,3,,,,,,,,,0.259,0.259,0.355,0.614,,,,167,,,,,,,,,,,,,,
y100,"Yount, Eddie",25,R,1941,PHA-min,,96,343,307,39,69,5,5,4,34,73,33,,48,3,,,0.225,0.304,0.313,0.617,1,,2,96,,,28.8,,,,,,,,,,,
y100,"Yount, Eddie",26,R,1942,STL-min,,139,435,401,19,91,22,1,0,24,43,32,,39,8,0,1,0.227,0.284,0.287,0.571,2,,0,115,5,,32.6674364896,33.9173210162,,,,,,,,,,
y100,"Yount, Eddie",30,R,1946,PHA-DET-min,,88,283,242,41,75,14,1,10,52,93,38,,31,0,0,,0.31,0.404,0.5,0.904,3,,0,121,4,,48.8321428571,48.8321428571,,,,,,,,,,
y100,"Yount, Eddie",31,R,1947,DET-min,,101,353,303,34,81,16,2,6,42,76,43,,38,5,,,0.267,0.36,0.393,0.753,6,,1,119,,,42.6473988439,,,,,,,,,,,
y100,"Yount, Eddie",32,R,1948,NWC-min,,107,402,402,,169,30,7,43,,,,,,,,,0.42,0.42,0.851,1.271,,,,342,,,,,,,,,,,,,,
y100,"Yount, Eddie",33,R,1949,NWC-min,,108,392,392,,127,29,8,10,,,,,,,,,0.324,0.324,0.515,0.839,,,,202,,,,,,,,,,,,,,
y100,"Yount, Eddie",34,R,1950,NWC-min,,108,406,406,,141,25,6,26,,,,,,,,,0.347,0.347,0.631,0.978,,,,256,,,,,,,,,,,,,,
y100,"Yount, Eddie",35,R,1951,NWC-min,,51,174,174,,53,11,1,4,,,,,,,,,0.305,0.305,0.448,0.753,,,,78,,,,,,,,,,,,,,
y102,"Yount, Robin",17,R,1973,MIL-min,,64,276,242,29,69,15,3,3,25,54,31,,26,8,1,0.889,0.285,0.37,0.409,0.779,0,1,2,99,,,36.2637362637,37.4967032967,,,,,,,,,,
y102,"Yount, Robin",18,R,1974,MIL,SS,107,364,344,48,86,14,5,3,26,74,12,0,46,7,7,0.5,0.25,0.276,0.346,0.622,5,2,1,119,4,79,32.7584269663,31.4026685393,10769.46,1,0.2,14,1.5,0.502,0.501,1.5,0.8,14
y102,"Yount, Robin",19,R,1975,MIL,SS,147,607,558,67,149,28,2,8,52,119,33,3,69,12,4,0.75,0.267,0.307,0.367,0.674,10,5,1,205,8,90,63.1302876481,63.7306260575,36433.2831301483,-17,-1.6,5,0.4,0.488,0.489,2.8,-1.3,27
y102,"Yount, Robin",20,R,1976,MIL,SS,161,690,638,59,161,19,3,2,54,113,38,3,69,16,11,0.593,0.252,0.292,0.301,0.593,8,6,0,192,13,76,56.5207100592,55.8437869822,35192.5226086957,-9,-0.9,15,1.4,0.493,0.494,1.4,1.3,14
y102,"Yount, Robin",21,R,1977,MIL,SS,154,663,605,66,174,34,4,4,49,115,41,1,80,16,7,0.696,0.288,0.333,0.377,0.71,11,4,2,228,11,94,75.8823529412,76.2452012384,47545.1043137255,9,1.1,33,3.3,0.506,0.506,3.8,0.6,37
y102,"Yount, Robin",22,R,1978,MIL,SS,127,545,502,66,147,23,9,9,71,137,24,1,43,16,5,0.762,0.293,0.323,0.428,0.752,13,5,1,215,5,110,69.8954372624,70.6288973384,35840.912440367,29,3.1,48,5,0.524,0.519,4.2,1.7,40
y102,"Yount, Robin",23,R,1979,MIL,SS,149,626,577,72,154,26,5,8,51,123,35,3,52,11,8,0.579,0.267,0.308,0.371,0.679,10,3,1,214,15,83,66.0882352941,65.0801470588,37170.8799361022,9,1,31,3.1,0.506,0.506,2.3,1.8,23
y102,"Yount, Robin",24,R,1980,MIL,SS,143,647,611,121,179,49,10,23,87,208,26,1,67,20,5,0.8,0.293,0.321,0.519,0.84,6,3,1,317,8,130,102.0172684458,102.9827315542,62485.7033075734,49,5.2,70,7.1,0.535,0.531,6.4,1.5,64
y102,"Yount, Robin",25,R,1981,MIL,SS,96,411,377,50,103,15,5,10,49,99,22,1,37,4,1,0.8,0.273,0.312,0.419,0.731,4,6,2,158,4,114,49.4987468672,49.7864661654,20005.5777128954,32,3.6,46,4.9,0.537,0.522,2.8,2.8,27
y102,"Yount, Robin",26,R,1982,MIL,SS,156,704,635,129,210,46,12,29,114,243,54,2,63,14,3,0.824,0.331,0.379,0.578,0.957,4,10,1,367,19,166,140.6211901306,141.9400580552,92529.5606818182,83,8.4,106,10.5,0.554,0.552,9.8,1.8,98
y102,"Yount, Robin",27,R,1983,MIL,SS,149,662,578,102,178,42,10,17,80,182,72,6,58,12,5,0.706,0.308,0.383,0.503,0.886,1,8,3,291,11,150,111.9230769231,112.1723076923,73218.7964954683,50,5.2,72,7.2,0.534,0.531,7.5,0.6,75
y102,"Yount, Robin",28,R,1984,MIL,SS,160,702,624,105,186,27,7,16,80,185,67,7,67,14,4,0.778,0.298,0.362,0.441,0.803,1,9,1,275,22,126,100.6874095514,101.8701881331,66316.0977777778,35,3.7,58,5.9,0.523,0.522,5.5,0.9,54
y102,"Yount, Robin",29,R,1985,MIL,LF,122,527,466,76,129,26,3,15,68,144,49,3,56,10,4,0.714,0.277,0.342,0.442,0.784,1,9,2,206,8,115,71.2,71.4582524272,36704.6597343454,1,0.2,19,1.9,0.501,0.501,2.5,-1,25
y102,"Yount, Robin",30,R,1986,MIL,CF,140,595,522,82,163,31,7,9,46,128,62,7,73,14,5,0.737,0.312,0.388,0.45,0.838,5,2,4,235,9,125,90.5393835616,91.4280821918,53823.1183529412,9,1,29,2.9,0.506,0.505,4.6,-1.6,46
y102,"Yount, Robin",31,R,1987,MIL,CF,158,723,635,99,198,25,9,21,103,202,76,10,94,19,9,0.679,0.312,0.384,0.479,0.862,6,5,1,304,9,125,117.1533052039,117.2000703235,82604.9615767635,11,1.1,34,3.3,0.507,0.506,4.6,-1.2,48
y102,"Yount, Robin",32,R,1988,MIL,CF,162,696,621,92,190,38,11,13,91,183,63,10,63,22,4,0.846,0.306,0.369,0.465,0.834,2,7,3,289,21,132,106.8961988304,109.6109649123,70122.3831609195,32,3.5,56,5.7,0.521,0.521,5.5,0.4,54
y102,"Yount, Robin",33,R,1989,MIL,CF,160,690,614,101,195,38,9,21,103,204,63,9,71,19,3,0.864,0.318,0.384,0.511,0.896,3,4,6,314,9,152,119.6632200886,122.2079025111,83059.2195942029,32,3.5,56,5.8,0.521,0.52,7.2,-1.4,70
y102,"Yount, Robin",34,R,1990,MIL,CF,158,683,587,98,145,17,5,17,77,175,78,6,89,15,8,0.652,0.247,0.337,0.38,0.717,4,8,6,223,7,102,74.7804511278,74.765037594,52061.940556369,1,0.2,25,2.5,0.501,0.501,3.4,-0.6,33
y102,"Yount, Robin",35,R,1991,MIL,CF,130,571,503,66,131,20,4,10,77,143,54,8,79,6,4,0.6,0.26,0.332,0.376,0.707,1,9,4,189,13,98,62.7737881508,62.4888689408,34744.0145709282,-11,-1,9,0.9,0.491,0.493,1.9,-1,19
y102,"Yount, Robin",36,R,1992,MIL,CF,150,629,557,71,147,40,3,8,77,148,53,9,81,15,6,0.714,0.264,0.325,0.39,0.714,4,12,3,217,9,102,71.1475409836,71.6368852459,43093.3856279809,-7,-0.6,17,1.6,0.495,0.496,3,-1.1,29
y102,"Yount, Robin",37,R,1993,MIL,CF,127,514,454,62,117,25,3,8,51,113,44,5,93,9,2,0.818,0.258,0.326,0.379,0.705,5,6,5,172,12,90,55.6064257028,56.4960843373,27882.900233463,2,0.2,22,2.1,0.502,0.501,1.5,0.8,15
y105,"Yurak, Jeff",20,B,1974,SFG-min,,46,168,153,21,36,5,2,3,26,47,11,0,26,0,0,,0.235,0.281,0.353,0.634,1,3,0,54,2,,15.4756097561,15.4756097561,2558.7123809524,,,,,,,,,
y105,"Yurak, Jeff",21,B,1975,SFG-min,,92,278,248,35,66,13,1,2,28,63,24,1,31,0,0,,0.266,0.345,0.351,0.696,0,0,6,87,5,,28.7867647059,28.7867647059,8603.14,,,,,,,,,
y105,"Yurak, Jeff",22,B,1976,SFG-min,,113,402,334,57,98,20,1,8,57,114,56,,63,3,0,1,0.293,0.405,0.431,0.836,2,2,8,144,,,56.8615384615,57.5130769231,,,,,,,,,,
y105,"Yurak, Jeff",23,B,1977,MIL-min,,72,221,195,27,48,11,2,3,22,49,20,,36,1,3,0.25,0.246,0.326,0.369,0.695,3,0,3,72,,,22.7720930233,21.9337209302,,,,,,,,,,
y105,"Yurak, Jeff",24,B,1978,MIL-min,,135,551,480,79,154,28,5,21,89,168,60,,49,1,0,1,0.321,0.396,0.531,0.928,1,6,4,255,,,101.0555555556,101.2735185185,,,,,,,,,,
y105,"Yurak, Jeff",24,B,1978,MIL,LF,5,6,5,0,0,0,0,0,0,0,1,0,0,0,0,,0,0.167,0,0.167,0,0,0,0,0,-49,0,0,0.26,0,-0.1,0,0,0.488,0.5,-0.1,0,-1
y105,"Yurak, Jeff",25,B,1979,MIL-min,,114,457,376,58,92,10,5,16,57,115,65,,76,4,1,0.8,0.245,0.366,0.426,0.792,1,5,10,160,,,56.9614512472,57.3768707483,,,,,,,,,,
y106,"Yvars, Sal",22,R,1946,NYG-min,,73,220,220,,70,12,6,8,,,,,,,,,0.318,0.318,0.536,0.855,,,,118,,,,,,,,,,,,,,
y106,"Yvars, Sal",23,R,1947,NYG-min,,80,249,208,34,61,12,0,8,43,77,36,,25,6,,,0.293,0.402,0.466,0.869,3,,2,97,,,38.5614754098,,,,,,,,,,,
y106,"Yvars, Sal",23,R,1947,NYG,C,1,5,5,0,1,0,0,0,0,0,0,,2,0,,,0.2,0.2,0.2,0.4,0,,0,1,0,6,0.2,,,-1,-0.1,0,-0.1,0.43,0.5,-0.1,0,-1
y106,"Yvars, Sal",24,R,1948,NYG-min,,132,483,409,67,123,17,4,16,88,155,65,,43,1,,,0.301,0.405,0.479,0.885,2,,7,196,,,77.7383966245,,,,,,,,,,,
y106,"Yvars, Sal",24,R,1948,NYG,C,15,42,38,4,8,1,0,1,6,10,3,,1,0,,,0.211,0.286,0.316,0.602,0,,1,12,1,62,3.2195121951,,,0,-0.1,1,0.1,0.496,0.5,0,0.1,0
y106,"Yvars, Sal",25,R,1949,NYG-min,,84,334,290,49,89,15,4,8,57,106,38,,24,1,,,0.307,0.391,0.469,0.86,4,,2,136,5,,52.6585365854,,,,,,,,,,,
y106,"Yvars, Sal",25,R,1949,NYG,C,3,9,8,0,0,0,0,0,0,0,1,,1,0,,,0,0.111,0,0.111,0,,0,0,0,-68,0,,,-2,-0.2,-1,-0.2,0.437,0.499,-0.2,0,-1
y106,"Yvars, Sal",26,R,1950,NYG-min,,91,340,291,48,82,12,1,8,53,101,38,,28,3,,,0.282,0.38,0.412,0.792,3,,8,120,,,43.7689969605,,,,,,,,,,,
y106,"Yvars, Sal",26,R,1950,NYG,C,9,15,14,0,2,0,0,0,0,0,1,,2,0,,,0.143,0.2,0.143,0.343,0,,0,2,0,-8,0.4,,,-2,-0.2,-2,-0.2,0.477,0.499,-0.2,0,-1
y106,"Yvars, Sal",27,R,1951,NYG,C,25,50,41,9,13,2,0,2,3,12,5,,7,0,0,,0.317,0.417,0.512,0.929,2,,2,21,0,147,8.2173913043,8.2173913043,,3,0.3,5,0.5,0.513,0.502,0.6,-0.1,6
y106,"Yvars, Sal",28,R,1952,NYG,C,66,164,151,15,37,3,0,4,18,33,10,,16,0,0,,0.245,0.296,0.344,0.641,2,,1,52,7,76,15.1801242236,15.1801242236,,-5,-0.6,1,0.1,0.491,0.496,0.2,0,2
y106,"Yvars, Sal",29,R,1953,STL,C,53,117,104,5,27,2,0,1,7,12,11,,7,0,1,0,0.26,0.336,0.308,0.644,1,,1,32,7,68,10.5739130435,10.2956521739,,-3,-0.3,-1,-0.2,0.489,0.498,-0.1,-0.1,-1
y106,"Yvars, Sal",30,R,1954,STL,C,38,65,57,8,14,4,0,2,8,16,6,,5,1,0,1,0.246,0.328,0.421,0.749,1,0,1,24,1,94,7.619047619,7.7936507937,,1,0.1,3,0.3,0.502,0.5,0.3,0,3
y106,"Yvars, Sal",31,R,1955,DET-min,,24,66,66,,21,2,1,1,,,,,,,,,0.318,0.318,0.348,0.667,,,,23,,,,,,,,,,,,,,
